N° Adresse;N° Article ;N° Ingenieur Commercial;Date facturation ;Date livraison ;N° de facture ;N° commande;Desc article;Quantite;Qte ouverte;Commande Ouverte;Chiffre Affaire;Montant;Rupture de stock;Cout;Marge;N° Client 
3;31;10;05/05/2016;03/08/2020;1721;13712;Pour vente ;222;32; Pour vente;295399,00;2568167,00;Non;14208,00;1240,00;16347907
15;50;14;06/05/2016;04/08/2020;3761;14689;Pour vente ;779;64; Pour vente;284713,00;2014587,00;Non;19521,00;1145,00;19271918
5;250;20;07/05/2016;05/08/2020;2640;17520;Pour vente ;1807;40; Pour vente;292280,00;2184791,00;Non;15311,00;1738,00;10146673
5;168;10;08/05/2016;06/08/2020;2610;10295;Pour vente ;2256;31; Pour vente;276965,00;2595677,00;Non;12564,00;1013,00;10781215
17;239;19;09/05/2016;07/08/2020;2968;11278;Pour vente ;1871;63; Pour vente;290068,00;7776047,00;Non;12827,00;1732,00;13748074
18;210;20;10/05/2016;08/08/2020;2095;14731;Pour vente ;760;24; Pour vente;288530,00;2200349,00;Non;15382,00;1553,00;16549419
5;204;15;11/05/2016;09/08/2020;2677;13010;Pour vente ;1002;55; Pour vente;259286,00;7776366,00;Non;15583,00;1726,00;11232669
20;191;12;12/05/2016;10/08/2020;2582;14521;Pour vente ;2399;20; Pour vente;253330,00;6650929,00;Non;13336,00;1198,00;18847541
2;218;20;13/05/2016;11/08/2020;1877;11256;Pour vente ;1020;85; Pour vente;267905,00;3603610,00;Non;15584,00;1381,00;12612488
18;119;10;14/05/2016;12/08/2020;2344;15323;Pour vente ;1691;43; Pour vente;285933,00;2769134,00;Non;10623,00;1085,00;16880068
10;129;16;15/05/2016;13/08/2020;1650;17714;Pour vente ;1079;48; Pour vente;292764,00;2345834,00;Non;19595,00;1149,00;13648713
6;207;16;16/05/2016;14/08/2020;2829;18110;Pour vente ;2497;48; Pour vente;275484,00;7612794,00;Non;13210,00;1350,00;14798316
2;255;18;17/05/2016;15/08/2020;2249;16308;Pour vente ;1184;65; Pour vente;274666,00;7001635,00;Non;15117,00;1060,00;12445356
12;84;11;18/05/2016;16/08/2020;3474;14706;Pour vente ;1767;99; Pour vente;263275,00;2732015,00;Non;17595,00;1390,00;15889062
14;128;20;19/05/2016;17/08/2020;2534;10077;Pour vente ;233;50; Pour vente;286968,00;5963899,00;Non;16084,00;1312,00;12948703
4;35;12;20/05/2016;18/08/2020;1787;16470;Pour vente ;1961;33; Pour vente;268862,00;7104232,00;Non;13101,00;1084,00;17507869
14;190;14;21/05/2016;19/08/2020;1375;19710;Pour vente ;1089;42; Pour vente;271547,00;6917289,00;Non;17658,00;1954,00;14253630
1;104;15;22/05/2016;20/08/2020;3506;11068;Pour vente ;2048;98; Pour vente;279979,00;3690433,00;Non;17970,00;1443,00;16420740
4;242;14;23/05/2016;21/08/2020;1716;16729;Pour vente ;404;60; Pour vente;291448,00;5518627,00;Non;17383,00;1623,00;15440178
20;126;20;24/05/2016;22/08/2020;2244;15299;Pour vente ;1595;68; Pour vente;284052,00;5346364,00;Non;17904,00;1037,00;13617152
14;222;19;25/05/2016;23/08/2020;1818;10401;Pour vente ;1388;67; Pour vente;263426,00;2475774,00;Non;18125,00;1759,00;15863339
16;205;14;26/05/2016;24/08/2020;3483;11812;Pour vente ;1263;20; Pour vente;277626,00;5592992,00;Non;11724,00;1214,00;17103024
8;11;10;27/05/2016;25/08/2020;3884;14057;Pour vente ;431;58; Pour vente;292853,00;6774096,00;Non;10659,00;1274,00;12845036
9;189;12;28/05/2016;26/08/2020;2551;13647;Pour vente ;1640;63; Pour vente;259824,00;6129096,00;Non;17808,00;1352,00;12996922
20;10;19;29/05/2016;27/08/2020;2213;12939;Pour vente ;2250;86; Pour vente;292613,00;4988263,00;Non;12537,00;1357,00;18872667
18;160;14;30/05/2016;28/08/2020;2387;17921;Pour vente ;1579;78; Pour vente;288723,00;2330337,00;Non;15910,00;1981,00;10671542
12;170;14;31/05/2016;29/08/2020;2458;18753;Pour vente ;1733;30; Pour vente;258361,00;5197763,00;Non;19699,00;1372,00;15612634
19;167;10;01/06/2016;30/08/2020;2177;16745;Pour vente ;1248;71; Pour vente;258376,00;4095456,00;Non;12051,00;1113,00;12507802
7;70;20;02/06/2016;31/08/2020;2000;17605;Pour vente ;1690;72; Pour vente;263076,00;2629839,00;Non;17712,00;1795,00;15965031
16;63;19;03/06/2016;01/09/2020;3959;11739;Pour vente ;1611;34; Pour vente;299444,00;7394711,00;Non;19259,00;1558,00;13312106
2;219;12;04/06/2016;02/09/2020;2677;19573;Pour vente ;2178;27; Pour vente;256743,00;2627819,00;Non;15386,00;1221,00;10240256
19;191;15;05/06/2016;03/09/2020;2601;13025;Pour vente ;316;72; Pour vente;294341,00;4588455,00;Non;14584,00;1455,00;10285509
1;31;18;06/06/2016;04/09/2020;2291;18912;Pour vente ;2378;76; Pour vente;267883,00;6123521,00;Non;12039,00;1402,00;10552420
11;162;11;07/06/2016;05/09/2020;3316;19814;Pour vente ;402;22; Pour vente;258890,00;7117589,00;Non;12317,00;1802,00;11364900
2;190;13;08/06/2016;06/09/2020;3860;11385;Pour vente ;1507;82; Pour vente;275913,00;2959521,00;Non;18868,00;1215,00;17007794
19;55;20;09/06/2016;07/09/2020;2648;18817;Pour vente ;2349;26; Pour vente;255181,00;3386773,00;Non;16113,00;1231,00;18258441
14;168;18;10/06/2016;08/09/2020;2529;11202;Pour vente ;402;89; Pour vente;263288,00;3258191,00;Non;13317,00;1272,00;16249128
12;204;13;11/06/2016;09/09/2020;3983;13631;Pour vente ;216;44; Pour vente;253437,00;6282302,00;Non;17542,00;1731,00;18682273
13;54;15;12/06/2016;10/09/2020;2964;11856;Pour vente ;1011;52; Pour vente;272794,00;4555324,00;Non;11705,00;1435,00;12923915
19;80;16;13/06/2016;11/09/2020;1829;12042;Pour vente ;2304;86; Pour vente;260594,00;4523308,00;Non;10665,00;1580,00;13790235
11;31;20;14/06/2016;12/09/2020;1553;16560;Pour vente ;201;73; Pour vente;251560,00;3247229,00;Non;13965,00;1600,00;14839299
8;112;18;15/06/2016;13/09/2020;2891;12371;Pour vente ;1591;78; Pour vente;289983,00;3711018,00;Non;19948,00;1042,00;12657760
15;40;14;16/06/2016;14/09/2020;3559;17990;Pour vente ;1717;59; Pour vente;267815,00;3823786,00;Non;19991,00;1735,00;11079606
16;240;19;17/06/2016;15/09/2020;3613;14891;Pour vente ;744;98; Pour vente;254233,00;6660370,00;Non;18665,00;1777,00;17611355
3;67;18;18/06/2016;16/09/2020;3671;10285;Pour vente ;1300;38; Pour vente;291804,00;6436064,00;Non;13132,00;1272,00;14262924
12;139;17;19/06/2016;17/09/2020;3205;11340;Pour vente ;2022;41; Pour vente;253211,00;2488754,00;Non;19040,00;1369,00;13636177
7;14;20;20/06/2016;18/09/2020;3620;10786;Pour vente ;2289;38; Pour vente;273570,00;3610762,00;Non;15921,00;1039,00;12548850
17;34;11;21/06/2016;19/09/2020;2628;16772;Pour vente ;1863;28; Pour vente;282295,00;2577690,00;Non;16959,00;1592,00;16206426
18;223;12;22/06/2016;20/09/2020;3321;13854;Pour vente ;1589;86; Pour vente;250070,00;6244606,00;Non;12227,00;1130,00;12190130
5;177;13;23/06/2016;21/09/2020;3420;16779;Pour vente ;2332;68; Pour vente;256148,00;7938754,00;Non;17995,00;1623,00;15204472
6;120;20;24/06/2016;22/09/2020;2954;18620;Pour vente ;2335;71; Pour vente;287176,00;4759103,00;Non;11000,00;1460,00;15846431
4;177;17;25/06/2016;23/09/2020;2660;11366;Pour vente ;616;57; Pour vente;268968,00;2833357,00;Non;13119,00;1830,00;19728155
20;57;18;26/06/2016;24/09/2020;2402;13390;Pour vente ;788;25; Pour vente;272799,00;3785273,00;Non;11461,00;1319,00;14782927
3;66;18;27/06/2016;25/09/2020;3017;12018;Pour vente ;2032;25; Pour vente;259050,00;2632049,00;Non;19431,00;1000,00;15105611
1;25;11;28/06/2016;26/09/2020;2370;19743;Pour vente ;1963;20; Pour vente;257428,00;5633954,00;Non;16739,00;1430,00;18063714
15;130;18;29/06/2016;27/09/2020;2999;15930;Pour vente ;2162;63; Pour vente;267540,00;7248840,00;Non;18998,00;1221,00;13097549
10;250;12;30/06/2016;28/09/2020;2264;10551;Pour vente ;2195;73; Pour vente;251355,00;4301769,00;Non;15695,00;1433,00;15287426
18;72;11;01/07/2016;29/09/2020;3171;15943;Pour vente ;783;96; Pour vente;273662,00;5502296,00;Non;11679,00;1782,00;11983402
1;36;16;02/07/2016;30/09/2020;2066;18954;Pour vente ;1626;20; Pour vente;283402,00;2398503,00;Non;19268,00;1711,00;19719861
20;124;15;03/07/2016;01/10/2020;1558;13091;Pour vente ;921;33; Pour vente;272139,00;5524701,00;Non;13158,00;1024,00;10003741
8;193;11;04/07/2016;02/10/2020;1851;14568;Pour vente ;500;27; Pour vente;284472,00;3302706,00;Non;12093,00;1499,00;13141901
8;239;16;05/07/2016;03/10/2020;1396;17829;Pour vente ;452;90; Pour vente;276766,00;7795290,00;Non;10178,00;1509,00;16508919
16;135;17;06/07/2016;04/10/2020;3933;19135;Pour vente ;959;45; Pour vente;259089,00;5763632,00;Non;17505,00;1205,00;11067763
15;219;19;07/07/2016;05/10/2020;2857;18126;Pour vente ;1116;34; Pour vente;251028,00;3018495,00;Non;13839,00;1549,00;11751367
3;155;19;08/07/2016;06/10/2020;1461;14914;Pour vente ;792;84; Pour vente;299712,00;5281204,00;Non;11293,00;1954,00;18315093
19;180;20;09/07/2016;07/10/2020;2585;14603;Pour vente ;1313;58; Pour vente;275278,00;4960589,00;Non;19217,00;1687,00;11206455
9;224;20;10/07/2016;08/10/2020;3455;19998;Pour vente ;2028;93; Pour vente;278086,00;5416346,00;Non;16333,00;1263,00;13772907
12;118;12;11/07/2016;09/10/2020;1564;16423;Pour vente ;829;51; Pour vente;292327,00;6391543,00;Non;13850,00;1215,00;10481755
10;197;18;12/07/2016;10/10/2020;1755;11834;Pour vente ;171;55; Pour vente;263662,00;5078004,00;Non;18524,00;1230,00;19758296
5;98;15;13/07/2016;11/10/2020;3612;15696;Pour vente ;541;57; Pour vente;282359,00;3780793,00;Non;13141,00;1826,00;10284315
14;114;20;14/07/2016;12/10/2020;2515;10014;Pour vente ;836;65; Pour vente;289873,00;7297941,00;Non;14179,00;1770,00;16565878
14;44;19;15/07/2016;13/10/2020;3419;11068;Pour vente ;321;76; Pour vente;296065,00;5986936,00;Non;17583,00;1799,00;16788545
5;242;17;16/07/2016;14/10/2020;3605;12737;Pour vente ;127;78; Pour vente;269393,00;7230775,00;Non;10309,00;1628,00;13794867
3;55;13;17/07/2016;15/10/2020;3734;12662;Pour vente ;454;33; Pour vente;298048,00;6111577,00;Non;12688,00;1456,00;15545141
13;47;15;18/07/2016;16/10/2020;1470;14737;Pour vente ;2192;95; Pour vente;297436,00;4494003,00;Non;17252,00;1107,00;15420865
10;167;18;19/07/2016;17/10/2020;2347;11163;Pour vente ;635;58; Pour vente;294277,00;7439890,00;Non;11785,00;1180,00;14627207
18;97;14;20/07/2016;18/10/2020;2086;13897;Pour vente ;2366;69; Pour vente;298156,00;7929804,00;Non;10258,00;1711,00;18999300
8;223;19;21/07/2016;19/10/2020;3500;12399;Pour vente ;2295;54; Pour vente;264525,00;2410682,00;Non;18859,00;1127,00;17663807
10;95;11;22/07/2016;20/10/2020;1959;14854;Pour vente ;1459;54; Pour vente;265015,00;4501321,00;Non;19247,00;1773,00;15958347
4;228;16;23/07/2016;21/10/2020;2357;16329;Pour vente ;2221;80; Pour vente;287553,00;4670729,00;Non;19757,00;1138,00;13730931
10;74;19;24/07/2016;22/10/2020;3432;16467;Pour vente ;1474;38; Pour vente;283816,00;6064996,00;Non;14656,00;1086,00;10812221
12;251;11;25/07/2016;23/10/2020;2410;16120;Pour vente ;2069;80; Pour vente;255241,00;2687589,00;Non;15664,00;1847,00;10489958
3;97;18;26/07/2016;24/10/2020;2297;13659;Pour vente ;2446;28; Pour vente;255522,00;2536311,00;Non;15211,00;1098,00;10887478
18;78;11;27/07/2016;25/10/2020;3761;19616;Pour vente ;1911;89; Pour vente;296881,00;5830777,00;Non;19516,00;1685,00;16662799
17;109;17;28/07/2016;26/10/2020;1950;10821;Pour vente ;637;100; Pour vente;278269,00;4137107,00;Non;14757,00;1669,00;18600942
6;95;17;29/07/2016;27/10/2020;2421;11299;Pour vente ;433;100; Pour vente;256648,00;2340910,00;Non;13932,00;1763,00;11891564
2;174;18;30/07/2016;28/10/2020;1742;12758;Pour vente ;390;43; Pour vente;288549,00;6901681,00;Non;14752,00;1937,00;14164638
3;16;15;31/07/2016;29/10/2020;2715;15765;Pour vente ;2217;68; Pour vente;295825,00;3543224,00;Non;17204,00;1492,00;18753560
8;26;19;01/08/2016;30/10/2020;1451;15945;Pour vente ;1514;72; Pour vente;254494,00;5003485,00;Non;15147,00;1759,00;13008609
10;39;16;02/08/2016;31/10/2020;1386;12868;Pour vente ;1118;65; Pour vente;297556,00;2919767,00;Non;15039,00;1628,00;11040506
1;250;14;03/08/2016;01/11/2020;3790;17674;Pour vente ;1922;92; Pour vente;292207,00;3418180,00;Non;18256,00;1559,00;10469780
11;137;20;04/08/2016;02/11/2020;3935;13651;Pour vente ;2145;27; Pour vente;252749,00;2141413,00;Non;19342,00;1749,00;11255061
4;193;17;05/08/2016;03/11/2020;2604;18453;Pour vente ;2052;66; Pour vente;251003,00;7934403,00;Non;10825,00;1503,00;12688460
8;101;20;06/08/2016;04/11/2020;3641;19572;Pour vente ;1688;81; Pour vente;259944,00;7697008,00;Non;13465,00;1746,00;13711107
17;205;19;07/08/2016;05/11/2020;1441;19622;Pour vente ;298;77; Pour vente;278242,00;4807586,00;Non;11516,00;1254,00;17399565
20;208;14;08/08/2016;06/11/2020;1435;11732;Pour vente ;1207;69; Pour vente;274069,00;7316413,00;Non;16005,00;1179,00;19031136
11;34;17;09/08/2016;07/11/2020;2182;15469;Pour vente ;1660;98; Pour vente;298626,00;5478973,00;Non;16368,00;1546,00;18812185
12;17;11;10/08/2016;08/11/2020;1441;10116;Pour vente ;2155;77; Pour vente;277950,00;6897160,00;Non;16889,00;1379,00;19415337
17;13;13;11/08/2016;09/11/2020;2277;13039;Pour vente ;2500;48; Pour vente;277679,00;4431142,00;Non;10976,00;1446,00;12447893
5;158;16;12/08/2016;10/11/2020;2956;13016;Pour vente ;867;25; Pour vente;292311,00;7152212,00;Non;17447,00;1959,00;16530127
19;47;17;13/08/2016;11/11/2020;2623;18128;Pour vente ;1740;96; Pour vente;251953,00;3465074,00;Non;12079,00;1224,00;18604645
16;157;11;14/08/2016;12/11/2020;2582;10531;Pour vente ;2325;54; Pour vente;261620,00;7207477,00;Non;19438,00;1571,00;14884294
7;105;14;15/08/2016;13/11/2020;3945;16019;Pour vente ;1117;34; Pour vente;260463,00;2197783,00;Non;17743,00;1924,00;19587588
15;29;11;16/08/2016;14/11/2020;1861;18302;Pour vente ;685;40; Pour vente;296206,00;7698181,00;Non;18722,00;1969,00;11702345
20;30;18;17/08/2016;15/11/2020;3354;10146;Pour vente ;1551;37; Pour vente;277886,00;6733050,00;Non;13114,00;1214,00;12697666
7;204;16;18/08/2016;16/11/2020;2496;14471;Pour vente ;575;67; Pour vente;250159,00;4456612,00;Non;15617,00;1700,00;14223641
15;18;14;19/08/2016;17/11/2020;1764;10556;Pour vente ;395;35; Pour vente;296228,00;6768352,00;Non;10612,00;1919,00;19122523
